,지번주소,도로명,건물(단지)명,전용면적(㎡),거래금액(만원),층,건축년도,계약날짜기준_건물연식,계약날짜,단가(만원/㎡),건물연식,부동산유형,소유자
94,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.16,29250,3,2020.0,0.0,2020-03-18,1162.5596184419717,1.0,연립다세대,SH
95,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.43,28450,4,2020.0,0.0,2020-03-18,1118.757373181282,1.0,연립다세대,SH
96,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.43,29250,2,2020.0,0.0,2020-03-18,1150.2162799842706,1.0,연립다세대,SH
97,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.43,29250,3,2020.0,0.0,2020-03-18,1150.2162799842706,1.0,연립다세대,SH
98,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.67,29850,2,2020.0,0.0,2020-03-18,1162.8359953252825,1.0,연립다세대,SH
99,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,25.67,29850,3,2020.0,0.0,2020-03-18,1162.8359953252825,1.0,연립다세대,SH
100,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,26.55,30550,2,2020.0,0.0,2020-03-18,1150.6591337099812,1.0,연립다세대,SH
101,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,26.55,30550,3,2020.0,0.0,2020-03-18,1150.6591337099812,1.0,연립다세대,SH
102,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,26.78,31500,4,2020.0,0.0,2020-03-18,1176.250933532487,1.0,연립다세대,SH
103,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,28.14,32550,4,2020.0,0.0,2020-03-18,1156.7164179104475,1.0,연립다세대,SH
104,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,31.7,34450,5,2020.0,0.0,2020-03-18,1086.750788643533,1.0,연립다세대,SH
105,서울특별시 강남구 개포동 1216-7,개포로24길 13,백년빌,32.54,35750,5,2020.0,0.0,2020-03-18,1098.6478180700676,1.0,연립다세대,SH
126,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.08,32909,2,2021.0,0.0,2021-06-01,1131.6712517193948,0.0,오피스텔,SH
127,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.86,33784,2,2021.0,0.0,2021-06-01,1131.4132618888143,0.0,오피스텔,SH
128,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.86,33784,2,2021.0,0.0,2021-06-01,1131.4132618888143,0.0,오피스텔,SH
129,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.86,33784,2,2021.0,0.0,2021-06-01,1131.4132618888143,0.0,오피스텔,SH
130,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.9,38100,4,2021.0,0.0,2021-06-01,1274.247491638796,0.0,연립다세대,SH
131,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.9,38100,3,2021.0,0.0,2021-06-01,1274.247491638796,0.0,연립다세대,SH
132,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.9,38100,6,2021.0,0.0,2021-06-01,1274.247491638796,0.0,연립다세대,SH
133,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.9,38100,5,2021.0,0.0,2021-06-01,1274.247491638796,0.0,연립다세대,SH
134,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.92,38150,6,2021.0,0.0,2021-06-01,1275.066844919786,0.0,연립다세대,SH
135,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.92,38150,4,2021.0,0.0,2021-06-01,1275.066844919786,0.0,연립다세대,SH
136,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.92,38150,5,2021.0,0.0,2021-06-01,1275.066844919786,0.0,연립다세대,SH
137,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,3,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
138,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,4,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
139,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,4,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
140,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,6,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
141,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,5,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
142,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,5,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
143,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,3,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
144,서울특별시 강남구 개포동 1237-7,논현로20길 20,한별2,29.98,38200,6,2021.0,0.0,2021-06-01,1274.1827885256837,0.0,연립다세대,SH
145,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,24.32,19950,4,2018.0,0.0,2018-03-07,820.3125,3.0,연립다세대,SH
146,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,24.45,20250,3,2018.0,0.0,2018-03-07,828.2208588957055,3.0,연립다세대,SH
147,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,24.45,20250,2,2018.0,0.0,2018-03-07,828.2208588957055,3.0,연립다세대,SH
148,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,24.96,20850,3,2018.0,0.0,2018-03-07,835.3365384615385,3.0,연립다세대,SH
149,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,24.96,20850,2,2018.0,0.0,2018-03-07,835.3365384615385,3.0,연립다세대,SH
150,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,25.19,20250,5,2018.0,0.0,2018-03-07,803.8904327113934,3.0,연립다세대,SH
151,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,25.2,21050,3,2018.0,0.0,2018-03-07,835.3174603174604,3.0,연립다세대,SH
152,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,25.2,21050,2,2018.0,0.0,2018-03-07,835.3174603174604,3.0,연립다세대,SH
153,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,25.93,21250,4,2018.0,0.0,2018-03-07,819.5140763594293,3.0,연립다세대,SH
154,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,26.24,21500,4,2018.0,0.0,2018-03-07,819.359756097561,3.0,연립다세대,SH
155,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,26.41,21650,4,2018.0,0.0,2018-03-07,819.7652404392276,3.0,연립다세대,SH
156,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,26.97,22550,3,2018.0,0.0,2018-03-07,836.1142009640341,3.0,연립다세대,SH
157,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,26.97,22550,2,2018.0,0.0,2018-03-07,836.1142009640341,3.0,연립다세대,SH
158,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,27.52,23000,3,2018.0,0.0,2018-03-07,835.7558139534884,3.0,연립다세대,SH
159,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,27.52,23000,2,2018.0,0.0,2018-03-07,835.7558139534884,3.0,연립다세대,SH
160,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,29.12,23400,5,2018.0,0.0,2018-03-07,803.5714285714286,3.0,연립다세대,SH
161,서울특별시 강남구 개포동 1244-12,개포로17길 9-10,프리가,29.16,23600,5,2018.0,0.0,2018-03-07,809.3278463648834,3.0,연립다세대,SH
1861,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,37413,11,2020.0,0.0,2020-12-09,1734.4923504867872,1.0,오피스텔,LH
1862,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36999,12,2020.0,0.0,2020-12-09,1715.2990264255911,1.0,오피스텔,LH
1863,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,37413,11,2020.0,0.0,2020-12-09,1734.4923504867872,1.0,오피스텔,LH
1864,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36999,12,2020.0,0.0,2020-12-09,1715.2990264255911,1.0,오피스텔,LH
1865,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,2,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1866,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,2,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1867,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,3,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1868,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,3,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1869,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,8,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1870,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,8,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1871,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,9,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1872,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,9,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1873,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,4,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1874,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,4,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1875,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,5,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1876,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,5,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1877,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,6,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1878,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36271,6,2020.0,0.0,2020-12-09,1681.5484469170144,1.0,오피스텔,LH
1879,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,7,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1880,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,36584,7,2020.0,0.0,2020-12-09,1696.0593416782567,1.0,오피스텔,LH
1881,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,37413,10,2020.0,0.0,2020-12-09,1734.4923504867872,1.0,오피스텔,LH
1882,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),21.57,37413,10,2020.0,0.0,2020-12-09,1734.4923504867872,1.0,오피스텔,LH
1883,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37567,11,2020.0,0.0,2020-12-09,1696.0270880361174,1.0,오피스텔,LH
1884,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37245,12,2020.0,0.0,2020-12-09,1681.489841986456,1.0,오피스텔,LH
